Plazo;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago
1;-0.482;-0.334;-0.24;0.024;0.313;0.85;0.905;1.206
2;-0.243;0.12;0.268;0.74;0.948;1.544;1.287;1.542
3;-0.077;0.35;0.493;1.027;1.188;1.763;1.412;1.611
4;0.028;0.469;0.621;1.161;1.329;1.885;1.525;1.666
5;0.098;0.537;0.71;1.239;1.429;1.976;1.633;1.721
7;0.215;0.627;0.83;1.345;1.575;2.094;1.792;1.813
10;0.377;0.747;0.993;1.487;1.761;2.254;1.995;1.947
15;0.543;0.857;1.13;1.599;1.899;2.379;2.182;2.069
20;0.581;0.848;1.084;1.529;1.819;2.287;2.117;1.977
30;0.5;0.722;0.867;1.286;1.547;2.045;1.863;1.738
